,n_processo,data_criacao,unidade_origem,assunto,data_instauracao_jad,situacao_jad,data_instauracao_pad,cppad,fase,resultado_do_pad,data_conclusao_pad,proposta_coopad,Atualizado_em,ano_criacao_processo,Ano,ano_conclusao_pad
10,SEI-030035/007222/2022,2022-10-06,SEEDUC,NÃO PRESTAÇÃO DE CONTAS,,POSITIVO,2024-06-19,1ª CPPAD,DEFESA,,,,2025-07-31 08:30:14,2022,2024,
11,SEI-150071/000379/2022,2022-12-19,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2024-04-10,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2022,2024,
12,SEI-030032/001067/2023,2023-03-05,SEEDUC,FALTA DE URBANIDADE,2024-01-05,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
13,SEI-030038/000345/2021,2021-02-05,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2022-12-22,2ª CPPAD,FINALIZADO,DEMISSÃO,2024-05-21,DEMISSÃO,2025-07-31 08:30:14,2021,2022,2024
14,SEI-320001/003235/2023,2023-11-29,CGE,ACUMULAÇÃO ILÍCITA DE CARGOS,2024-08-20,NEGATIVO,,,,,,,2025-07-31 08:30:14,2023,,
15,SEI-150071/000216/2021,2021-06-17,DETRAN-RJ,NÃO PRESTAÇÃO DE CONTAS,2024-01-23,NEGATIVO,,,,,,,2025-07-31 08:30:14,2021,,
16,SEI-030032/002416/2022,2022-07-04,SEEDUC,ASSÉDIO SEXUAL,2024-01-08,POSITIVO,2024-07-03,3ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2024,
17,E-03/001/1547/2014,2014-02-19,SEEDUC,ABANDONO DE CARGO,2024-01-11,PRESCRITO,,,,,,,2025-07-31 08:30:14,2014,,
18,SEI-150071/000163/2023,2023-04-11,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-01-15,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
19,E-03/016/1859/2019,2019-04-15,SEEDUC,ASSÉDIO SEXUAL,,POSITIVO,2021-03-12,2ª CPPAD,REEXAME,,,SUSPENSÃO,2025-07-31 08:30:14,2019,2021,
20,SEI-030039/001648/2022,2022-03-23,SEEDUC,COAÇÃO NO CURSO DO PROCESSO,2022-09-26,POSITIVO,2023-10-26,4ª CPPAD,SOBRESTADO,,,,2025-07-31 08:30:14,2022,2023,
21,SEI-080001/019713/2020,2020-09-23,SES,ACUMULAÇÃO ILÍCITA DE CARGOS,2024-05-13,POSITIVO,2024-05-28,4ª CPPAD,FINALIZADO,,,,2025-07-31 08:30:14,2020,2024,
22,SEI-040161/004819/2020,2020-05-25,RIOPREVIDÊNCIA,ACUMULAÇÃO ILÍCITA DE CARGOS,,NEGATIVO,,,,,,,2025-07-31 08:30:14,2020,,
23,SEI-030038/002044/2023,2023-04-12,SEEDUC,ACUMULAÇÃO ILÍCITA DE CARGOS,2024-01-15,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
24,SEI-080001/017324/2020,2020-08-19,SES,ACUMULAÇÃO ILÍCITA DE CARGOS,,NEGATIVO,,,,,,,2025-07-31 08:30:14,2020,,
25,SEI-030036/001851/2022,2022-03-11,SEEDUC,ASSÉDIO SEXUAL,2024-01-12,POSITIVO,2024-02-19,3ª CPPAD,FINALIZADO,,,,2025-07-31 08:30:14,2022,2024,
26,SEI-100005/002981/2022,2022-04-06,DETRO,FRAUDES DOCUMENTAIS,2024-05-23,POSITIVO,2024-02-19,4ª CPPAD,FINALIZADO,DEMISSÃO,,DEMISSÃO,2025-07-31 08:30:14,2022,2024,
27,SEI-030037/001318/2023,2023-03-07,SEEDUC,ASSÉDIO SEXUAL,2024-01-12,POSITIVO,2025-02-06,3ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2023,2025,
28,SEI-030038/002643/2022,2022-05-23,SEEDUC,ASSÉDIO SEXUAL,2024-01-12,NEGATIVO,,,,,,,2025-07-31 08:30:14,2022,,
29,SEI-030043/001770/2022,2022-04-13,SEEDUC,OFENSA FÍSICA,2024-02-29,NEGATIVO,2024-03-12,3ª CPPAD,FINALIZADO,,,,2025-07-31 08:30:14,2022,2024,
30,SEI-330018/000060/2021,2021-02-04,SECID,DESCUMPRIMENTO DE NORMAS RELACIONADAS ÁS CONTRATAÇÕES PÚBLICAS,,POSITIVO,2021-09-09,2ª CPPAD,REEXAME,,,,2025-07-31 08:30:14,2021,2021,
31,E-03/037/324/2019,2019-09-11,SEEDUC,NÃO PRESTAÇÃO DE CONTAS,,POSITIVO,2021-08-05,1ª CPPAD,FINALIZADO,DEMISSÃO,2024-01-03,DEMISSÃO,2025-07-31 08:30:14,2019,2021,2024
32,SEI-260005/008235/2022,2022-10-17,FAETEC,ABANDONO DE CARGO,2024-01-16,POSITIVO,2024-06-05,2ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2024,
33,SEI-030039/002566/2021,2021-07-06,SEEDUC,ABANDONO DE CARGO,2024-01-23,POSITIVO,2024-06-05,1ª CPPAD,FINALIZADO,,,,2025-07-31 08:30:14,2021,2024,
34,SEI-030029/008053/2021,2021-08-25,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2023-06-12,1ª CPPAD,FINALIZADO,DEMISSÃO,2024-04-15,DEMISSÃO,2025-07-31 08:30:14,2021,2023,2024
35,SEI-030034/003065/2022,2022-06-23,SEEDUC,MÁ CONDUTA,2024-01-18,POSITIVO,2024-08-05,2ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2024,
36,E-07/020/104/2019,2019-09-23,ITERJ,ABANDONO DE CARGO,,POSITIVO,2021-06-21,3ª CPPAD,FINALIZADO,DEMISSÃO,2024-01-17,DEMISSÃO,2025-07-31 08:30:14,2019,2021,2024
37,E-03/813339/2011,2022-03-28,SEEDUC,ABANDONO DE CARGO,2024-01-18,NEGATIVO,,,,,,,2025-07-31 08:30:14,2022,,
38,SEI-030038/000184/2022,2022-01-07,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2023-08-11,2ª CPPAD,FINALIZADO,,,,2025-07-31 08:30:14,2022,2023,
39,SEI-460001/001234/2023,2023-06-28,SEIC,NULIDADE CONTRATUAL,2024-01-22,NEGATIVO,,,,,,,2025-07-31 08:30:14,2023,,
40,SEI-030043/001588/2020,2020-11-30,SEEDUC,AMEAÇA,,POSITIVO,2022-02-03,2ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-01-17,ARQUIVAMENTO,2025-07-31 08:30:14,2020,2022,2024
41,SEI-04/160/000148/2019,2019-10-25,RIOPREVIDÊNCIA,ABANDONO DE CARGO,,POSITIVO,2023-02-01,1ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-01-22,ARQUIVAMENTO,2025-07-31 08:30:14,2019,2023,2024
42,SEI-030034/001575/2022,2022-03-23,SEEDUC,ASSÉDIO SEXUAL,2024-01-23,NEGATIVO,,,,,,,2025-07-31 08:30:14,2022,,
43,SEI-030034/001630/2022,2022-03-25,SEEDUC,MÁ CONDUTA,2024-01-23,POSITIVO,2024-02-19,2ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2024,
44,SEI-030038/001430/2023,2023-03-14,SEEDUC,NÃO PRESTAÇÃO DE CONTAS,2023-08-31,NEGATIVO,,,,,,,2025-07-31 08:30:14,2023,,
45, SEI-030029/002802/2022,2022-10-31,SEEDUC,SISPATRI,,POSITIVO,2022-12-30,2ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-01-24,ARQUIVAMENTO,2025-07-31 08:30:14,2022,2022,2024
46,E-03/005/101783/2018,2018-08-30,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2021-01-07,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-02-08,ARQUIVAMENTO,2025-07-31 08:30:14,2018,2021,2024
47,E-03/007/2676/2019,2019-04-11,SEEDUC,ASSÉDIO SEXUAL,,POSITIVO,2021-02-08,3ª CPPAD,RELATÓRIO FINAL,,,,2025-07-31 08:30:14,2019,2021,
48,SEI-04/161/004001/2019,2019-12-18,RIOPREVIDÊNCIA,ACUMULAÇÃO ILÍCITA DE CARGOS,,POSITIVO,2023-02-01,2ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-02-08,ARQUIVAMENTO,2025-07-31 08:30:14,2019,2023,2024
49,SEI-460001/001993/2023,2023-10-03,SEIOP,NULIDADE CONTRATUAL,2024-01-26,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
50,SEI-460001/001444/2023,2023-07-26,SEIC,FRAUDES DOCUMENTAIS,,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
51,SEI-460001/002023/2023,2023-10-05,SEIOP,FRAUDES DOCUMENTAIS,2024-01-26,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
52,SEI-080001/002366/2021,2021-02-03,SES,ABANDONO DE CARGO,,POSITIVO,2022-12-16,3ª CPPAD,FINALIZADO,DEMISSÃO,2024-04-04,DEMISSÃO,2025-07-31 08:30:14,2021,2022,2024
53,SEI-330020/001505/2023,2023-12-04,ITERJ,ABANDONO DE CARGO,,NEGATIVO,,,,,,,2025-07-31 08:30:14,2023,,
54,SEI-030038/001589/2022,2022-03-25,SEEDUC,FALTA DE URBANIDADE,2024-01-29,POSITIVO,2024-02-19,2ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2024,
55,SEI-030036/002846/2022,2022-04-13,SEEDUC,ASSÉDIO SEXUAL,2024-01-29,NEGATIVO,,,,,,,2025-07-31 08:30:14,2022,,
56,SEI-030038/005792/2023,2023-10-09,SEEDUC,FALTAS INTERPOLADAS,2024-01-29,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
57,SEI-030033/003693/2021,2021-09-08,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2023-06-21,2ª CPPAD,FINALIZADO,DEMISSÃO,2024-01-23,DEMISSÃO,2025-07-31 08:30:14,2021,2023,2024
58,SEI-460001/001981/2023,2023-10-02,SEIOP,DESCUMPRIMENTO DE NORMAS RELACIONADAS ÁS CONTRATAÇÕES PÚBLICAS,2024-01-30,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
59,SEI-080001/011910/2021,2021-06-02,SES,ABANDONO DE CARGO,,POSITIVO,2023-06-21,1ª CPPAD,FINALIZADO,DEMISSÃO,2024-01-23,DEMISSÃO,2025-07-31 08:30:14,2021,2023,2024
60,SEI-030038/003649/2023,2023-06-28,SEEDUC,ABANDONO DE CARGO,2024-01-31,POSITIVO,2024-10-18,2ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2023,2024,
61,E-08/008/100927/2018,2021-06-30,SES,ABANDONO DE CARGO,2024-01-31,POSITIVO,2024-06-05,3ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2021,2024,
62,SEI-030032/001257/2022,2022-04-05,SEEDUC,MÁ CONDUTA,2024-01-31,NEGATIVO,,,,,,,2025-07-31 08:30:14,2022,,
63,SEI-080014/000698/2022,2022-12-01,SES,ABANDONO DE CARGO,2024-01-31,POSITIVO,2024-08-30,2ª CPPAD,DEFESA,,,,2025-07-31 08:30:14,2022,2024,
64,E-03/008/1298/2018,2018-02-16,SEEDUC,ABANDONO DE CARGO,2024-01-31,NEGATIVO,,,,,,,2025-07-31 08:30:14,2018,,
65,SEI-030029/008414/2022,2022-07-01,SEEDUC,ASSÉDIO SEXUAL,2024-01-31,NEGATIVO,,,,,,,2025-07-31 08:30:14,2022,,
66,SEI-030032/003977/2023,2023-10-11,SEEDUC,FALTAS INTERPOLADAS,2024-02-01,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
67,E-03/007/673/2018,2018-01-26,SEEDUC,NÃO PRESTAÇÃO DE CONTAS,,POSITIVO,2022-12-07,2ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-02-20,ARQUIVAMENTO,2025-07-31 08:30:14,2018,2022,2024
68,E-03/005/3941/2018,2018-05-30,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2021-05-31,2ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-02-20,ARQUIVAMENTO,2025-07-31 08:30:14,2018,2021,2024
69,SEI-030038/001247/2022,2022-03-08,SEEDUC,NÃO PRESTAÇÃO DE CONTAS,2024-02-02,NEGATIVO,,,,,,,2025-07-31 08:30:14,2022,,
70,E-03/033/2121/2019,2019-12-20,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2022-09-14,3ª CPPAD,FINALIZADO,DEMISSÃO,2024-04-29,DEMISSÃO,2025-07-31 08:30:14,2019,2022,2024
71,SEI-030038/000205/2023,2023-01-09,SEEDUC,ABANDONO DE CARGO,2024-02-02,POSITIVO,2024-06-20,3ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2023,2024,
72,E-03/005/1898/2019,2019-03-21,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2021-06-28,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-03-01,ARQUIVAMENTO,2025-07-31 08:30:14,2019,2021,2024
73,SEI-030041/004927/2023,2023-08-07,SEEDUC,ABANDONO DE CARGO,2024-02-05,POSITIVO,2024-03-01,3ª CPPAD,DEFESA,,,,2025-07-31 08:30:14,2023,2024,
74,SEI-030039/003454/2021,2021-08-26,SEEDUC,ABANDONO DE CARGO,2024-02-05,NEGATIVO,,,,,,,2025-07-31 08:30:14,2021,,
75,SEI-030046/001706/2022,2022-09-09,SEEDUC,FALTAS INTERPOLADAS,2024-02-05,POSITIVO,2024-06-13,1ª CPPAD,DEFESA,,,,2025-07-31 08:30:14,2022,2024,
76,SEI-030036/001163/2022,2022-02-16,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2023-08-15,1ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-03-01,ARQUIVAMENTO,2025-07-31 08:30:14,2022,2023,2024
77,E-03/004/583/2018,2018-02-08,SEEDUC,FALTA DE URBANIDADE,2021-08-25,POSITIVO,2021-11-05,1ª CPPAD,FINALIZADO,DEMISSÃO,2024-05-29,DEMISSÃO,2025-07-31 08:30:14,2018,2021,2024
78,E-03/032/47/2019,2019-08-14,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2022-08-03,2ª CPPAD,FINALIZADO,DEMISSÃO,2024-01-12,DEMISSÃO,2025-07-31 08:30:14,2019,2022,2024
79,SEI-040077/000209/2023,2023-08-25,SEFAZ,NÃO PRESTAÇÃO DE CONTAS,2024-02-08,NEGATIVO,,,,,,,2025-07-31 08:30:14,2023,,
80,SEI-030022/011476/2022,2022-07-26,DEGASE,ABANDONO DE CARGO,,POSITIVO,2023-02-09,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-03-01,ARQUIVAMENTO,2025-07-31 08:30:14,2022,2023,2024
81,SEI-320001/001827/2022,2022-06-14,CGE,NEPOTISMO,2024-10-31,POSITIVO,2025-02-19,4ª CPPAD,RELATÓRIO FINAL,,,,2025-07-31 08:30:14,2022,2025,
82,E-03/021/15/2019,2019-01-03,DEGASE,FALTA DE URBANIDADE,,POSITIVO,2021-06-23,2ª CPPAD,FINALIZADO,,,,2025-07-31 08:30:14,2019,2021,
83,E-03/021/1357/2019,2019-07-03,DEGASE,ABANDONO DE CARGO,,POSITIVO,2022-11-07,1ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-03-01,ARQUIVAMENTO,2025-07-31 08:30:14,2019,2022,2024
84,SEI-030041/001692/2023,2023-03-27,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2023-10-26,2ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-03-01,ARQUIVAMENTO,2025-07-31 08:30:14,2023,2023,2024
85,SEI-030041/002859/2021,2021-09-08,SEEDUC,DESCUMPRIMENTO DE NORMAS RELACIONADAS ÁS CONTRATAÇÕES PÚBLICAS,,POSITIVO,2022-12-07,1ª CPPAD,FINALIZADO,SUSPENSÃO,2024-05-23,SUSPENSÃO,2025-07-31 08:30:14,2021,2022,2024
86,SEI-150071/000148/2022,2022-06-14,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-10-16,4ª CPPAD,FINALIZADO, ,,SUSPENSÃO,2025-07-31 08:30:14,2022,2023,
87,SEI-030033/001522/2022,2022-03-23,SEEDUC,ESTUPRO,,POSITIVO,2022-11-04,4ª CPPAD,FINALIZADO,DEMISSÃO,2024-05-27,DEMISSÃO,2025-07-31 08:30:14,2022,2022,2024
88,SEI-150071/000058/2023,2023-02-07,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-02-28,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
89,SEI-030031/002894/2023,2023-12-11,SEEDUC,FALTAS INTERPOLADAS,2024-02-21,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
90,SEI-030022/013122/2020,2020-12-29,DEGASE,OFENSA FÍSICA,,POSITIVO,2021-07-06,3ª CPPAD,FINALIZADO,DEMISSÃO,2024-08-04,DEMISSÃO,2025-07-31 08:30:14,2020,2021,2024
91,SEI-330018/000277/2021,2021-05-12,SECID,NEGLIGÊNCIA EM FISCALIZAÇÃO CONTRATUAL,,POSITIVO,2022-09-12,1ª CPPAD,FINALIZADO,,,,2025-07-31 08:30:14,2021,2022,
92,SEI 320001/001443/2022,2022-08-31,CGE,CORRUPÇÃO,,POSITIVO,2022-05-23,2ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-03-01,ARQUIVAMENTO,2025-07-31 08:30:14,2022,2022,2024
93,E-03/005/100516/2018,2018-07-20,SECC,ACUMULAÇÃO ILÍCITA DE CARGOS,,POSITIVO,2022-11-23,2ª CPPAD,FINALIZADO,,,ARQUIVAMENTO,2025-07-31 08:30:14,2018,2022,
94,SEI-150025/000033/2022,2022-02-14,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-05-23,POSITIVO,2024-03-05,4ª CPPAD,FINALIZADO,,,DEMISSÃO,2025-07-31 08:30:14,2022,2024,
95,E-12/061/103393/2018,2018-10-04,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-10-24,4ª CPPAD,REEXAME,,,,2025-07-31 08:30:14,2018,2023,
96,SEI-030036/006080/2023,2023-09-15,SEEDUC,FALTAS INTERPOLADAS,2023-11-09,POSITIVO,,,,,,,2025-07-31 08:30:14,2023,,
97,SEI-150071/000029/2021,2021-02-02,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-09-14,4ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-10-10,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,2024
98,SEI-460001/001228/2023,2023-06-27,SEIC,NULIDADE CONTRATUAL,2024-02-27,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
99,SEI-030029/008328/2022,2022-06-29,SEEDUC,ESTUPRO,,POSITIVO,2023-01-31,4ª CPPAD,FINALIZADO,DEMISSÃO,2024-05-28,DEMISSÃO,2025-07-31 08:30:14,2022,2023,2024
100,SEI-150071/000154/2023,2023-04-11,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-05-23,POSITIVO,2024-04-29,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2023,2024,
101,E-26/005/402/2019,2022-08-16,FAETEC,FALTAS INTERPOLADAS,,POSITIVO,2023-02-09,1ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-03-06,ARQUIVAMENTO,2025-07-31 08:30:14,2022,2023,2024
102,E-26/005/3014/2017,2017-07-27,FAETEC,FALTAS INTERPOLADAS,,POSITIVO,2023-02-06,1ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-03-06,ARQUIVAMENTO,2025-07-31 08:30:14,2017,2023,2024
103,SEI-160192/000066/2020,2020-01-07,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-03-21,4ª CPPAD,FINALIZADO,SUSPENSÃO,2024-04-25,SUSPENSÃO,2025-07-31 08:30:14,2020,2023,2024
104,SEI-030029/009568/2022,2022-07-25,SEEDUC,EXERCÍCIO SIMULTÂNEO DE CARGO PÚBLICO,2024-02-27,POSITIVO,2024-08-08,3ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2024,
105,SEI-260005/000404/2024,2024-01-12,FAETEC,ABANDONO DE CARGO,2024-02-28,NEGATIVO,,,,,,,2025-07-31 08:30:14,2024,,
106,SEI-030038/004568/2022,2022-09-04,SEEDUC,MÁ CONDUTA,2024-02-29,POSITIVO,2024-08-05,3ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2024,
107,SEI-030036/008587/2022,2022-12-14,SEEDUC,FALTAS INTERPOLADAS,2024-05-23,POSITIVO,2024-03-12,1ª CPPAD,DEFESA,,,,2025-07-31 08:30:14,2022,2024,
108,SEI-150032/001885/2021,2021-12-17,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-11-06,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,
109,SEI-150071/000114/2023,2023-03-27,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-02-29,NEGATIVO,,,,,,,2025-07-31 08:30:14,2023,,
110,SEI-030022/002308/2022,2022-02-20,DEGASE,MÁ CONDUTA,2024-03-11,POSITIVO,2024-03-14,4ª CPPAD,FINALIZADO,,,ARQUIVAMENTO,2025-07-31 08:30:14,2022,2024,
111,SEI-120001/012653/2021,2021-11-12,SEPLAG,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2023-04-04,POSITIVO,2023-03-06,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,
112,E-03/006/26/2017,2017-01-02,SEEDUC,FALTAS INTERPOLADAS,,POSITIVO,2021-03-01,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-03-06,ARQUIVAMENTO,2025-07-31 08:30:14,2017,2021,2024
113,SEI-030022/009222/2020,2020-09-14,DEGASE,ASSOCIAÇÃO CRIMINOSA,,POSITIVO,2021-02-04,2ª CPPAD,FINALIZADO,,,DEMISSÃO,2025-07-31 08:30:14,2020,2021,
114,SEI-030029/005921/2021,2021-06-28,SEEDUC,DESCUMPRIMENTO DE NORMAS RELACIONADAS ÁS CONTRATAÇÕES PÚBLICAS,,POSITIVO,2023-01-08,1ª CPPAD,FINALIZADO,SUSPENSÃO,2024-06-05,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,2024
115,SEI-150071/000330/2022,2022-11-17,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-12-01,4ª CPPAD,FINALIZADO,DEMISSÃO,2024-08-06,SUSPENSÃO,2025-07-31 08:30:14,2022,2023,2024
116,E-03/002/2711/2013,2013-07-08,SEEDUC,FALTAS INTERPOLADAS,,NEGATIVO,,,,,,,2025-07-31 08:30:14,2013,,
117,SEI-040161/004841/2020,2020-05-25,RIOPREVIDÊNCIA,ACUMULAÇÃO ILÍCITA DE CARGOS,,POSITIVO,2023-04-13,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-03-14,ARQUIVAMENTO,2025-07-31 08:30:14,2020,2023,2024
118,SEI-26/004/004938/2019,2019-12-12,CECIERJ,SOLICITAÇÃO DE COTAS DE TRANSLADO,2024-03-05,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2019,,
119,E-03/005/1749/2019,2019-03-14,SEEDUC,FALTAS INTERPOLADAS,,POSITIVO,2021-05-27,1ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-04-10,ARQUIVAMENTO,2025-07-31 08:30:14,2019,2021,2024
120,SEI-04/160/000133/2019,2019-10-21,RIOPREVIDÊNCIA,ACUMULAÇÃO ILÍCITA DE CARGOS,2024-05-23,POSITIVO,2024-02-08,3ª CPPAD,RELATÓRIO FINAL,,,,2025-07-31 08:30:14,2019,2024,
121,E-03/016/2656/2019,2019-07-04,SEEDUC,MAPAS DE MERENDA,,POSITIVO,2021-11-05,2ª CPPAD,FINALIZADO,DEMISSÃO,2024-02-23,DEMISSÃO,2025-07-31 08:30:14,2019,2021,2024
122,E-03/016/3180/2018,2018-04-17,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2021-04-07,2ª CPPAD,FINALIZADO,DEMISSÃO,2024-05-21,DEMISSÃO,2025-07-31 08:30:14,2018,2021,2024
123,SEI-030035/007906/2023,2023-12-15,SEEDUC,ABANDONO DE CARGO,2024-03-06,NEGATIVO,,,,,,,2025-07-31 08:30:14,2023,,
124,SEI-030039/002369/2020,2020-11-05,SEEDUC,ABANDONO DE CARGO,2024-05-13,NEGATIVO,,,,,,,2025-07-31 08:30:14,2020,,
125,SEI-030035/006316/2023,2023-10-05,SEEDUC,ABANDONO DE CARGO,2024-03-06,POSITIVO,2024-12-04,2ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2023,2024,
